	GITTstep	OCV [V]	Q [mAh]	I_pol [mA]	t_pol [s]	OCV_slope_final [V/s]	Q_corr [mAh]	t_tot_cum [h]	dU/dt_sd [V/s]	dU/dt_relax [V/s]	I_sd [mA]	U_err, instrument [V]	U_err,sd pos [V]	U_err,relax negative [V]	I_err, instrument [mA]	Q_err, instrument sym [mAh]	Q0_err,instr cumulative shared sym [mAh]	Q_err,sd cumulative shared neg [mAh]	dV pos [V]	dV neg [V]	q [mAh/g]	dq_mass [mAh/g]	q_err_pos tot [mAh/g]	q_err_neg tot [mAh/g]	q_err_pos incl sd [mAh/g]	q_err_neg incl sd [mAh/g]	q_err_pos from instr [mAh/g]	q_err_neg from instr [mAh/g]
30	30.0	3.8309436	0.542422153898687	0.0524482821980275	1200.00012516975	-1.21656115785669e-07	0.658649723898687	72.3333344111835	-2.07790632024825e-08	-1.00877052583186e-07	-9.34407417319105e-05	0.00068309436	0.0001496092550578	0.0010894721678984	0.000176224141099	5.87413864935414e-05	0.008320976296525	0.0177588804193233	0.0008327036150578	0.0017725665278984	125.45709026641657	2.150692975995713	3.7356408420004747	7.118284731395389	1.5849478660047618	4.967591755399676	1.5849478660047618	1.5849478660047618
31	31.0	3.8455238	0.559920026262458	0.05244818657881	1200.00012516975	-1.23395275092857e-07	0.676147596262458	74.6666677792862	-2.53708846924579e-08	-9.80243904003991e-08	-0.0001057793873764	0.00068455238	0.0001826703697856	0.0010586634163243	0.0001762240932894	5.87413705570035e-05	0.0083797176670821	0.018898194375136	0.0008672227497856	0.0017432157963243	128.7900183357063	2.207828885754965	3.8039655842467934	7.403621655701269	1.5961366984918284	5.195792769946304	1.5961366984918284	1.5961366984918284
32	32.0	3.8612468	0.577417974560851	0.0524482412509489	1200.00012516975	-1.61337137971809e-07	0.693645544560851	77.0000011473889	-2.6515681496613e-08	-1.34821456475196e-07	-0.0001044627555242	0.00068612468	0.0001909129067756	0.0014560717299321	0.0001762241206254	5.87413796690276e-05	0.0084384590467511	0.0190436322952255	0.0008770375867756	0.0021421964099321	132.12296086873351	2.264965043464003	3.8722905761784983	7.499649108602402	1.607325532714495	5.234684065138399	1.607325532714495	1.607325532714495
33	33.0	3.8775215	0.594915889886564	0.0524482271702468	1200.00012516975	-1.22684738656554e-07	0.711143459886564	79.3333345154916	-2.37956107615434e-08	-9.88891278950106e-08	-9.14478711075799e-05	0.00068775215	0.0001713283974831	0.0010680025812661	0.0001762241135851	5.87413773222436e-05	0.0084972004240733	0.0182548645493072	0.0008590805474831	0.0017557547312661	135.45589712125027	2.3221010935071478	3.9406154599973	7.417732517008195	1.6185143664901525	5.095631423501048	1.6185143664901525	1.6185143664901525
34	34.0	3.8940327	0.6124137929434	0.0524481954817281	1200.00012516975	-1.05924844929104e-07	0.7286413629434	81.6666678835943	-2.25065653929271e-08	-8.34182795361769e-08	-8.63875871906237e-05	0.00068940327	0.000162047270829	0.0009009174189907	0.0001762240977408	5.87413720408233e-05	0.0085559417961141	0.0180549863923617	0.000851450540829	0.0015903206889907	138.78883103683808	2.379237103488653	4.008940302748481	7.447985329864996	1.6297031992598283	5.068748226376343	1.6297031992598283	1.6297031992598283
35	35.0	3.9103467	0.629911668109178	0.0524481132739027	1200.00012516975	-1.51414324751973e-07	0.746139238109178	84.000001251697	-2.56685265614425e-08	-1.25745798190531e-07	-9.93532140378522e-05	0.00069103467	0.0001848133912423	0.0013580546204577	0.0001762240566369	5.87413583395176e-05	0.0086146831544537	0.0193456701035397	0.0008758480612423	0.0020490892904577	142.12175963984342	2.4363730223973157	4.077265051817068	7.762154595348439	1.6408920294197522	5.325781572951123	1.6408920294197522	1.6408920294197522
36	36.0	3.9265821	0.647409630954514	0.0524483726001023	1200.00012516975	-1.4582568820324e-07	0.763637200954514	86.3333346197997	-2.95310864512607e-08	-1.16294601751979e-07	-0.0001170971372589	0.00069265821	0.000212623822449	0.0012559816989213	0.0001762241863	5.87414015605554e-05	0.0086734245560142	0.0211093863339964	0.000905282032449	0.0019486399089213	145.45470494371696	2.4935092276065767	4.145590095418806	8.166425587608595	1.6520808678122285	5.672916360002018	1.6520808678122285	1.6520808678122285
37	37.0	3.9421475	0.664907543961186	0.0524482231224241	1200.00012516975	-1.56538040435359e-07	0.781135113961186	88.6666679879024	-2.87937201823778e-08	-1.27744320252981e-07	-0.0001180593036405	0.00069421475	0.0002073147853131	0.0013796386587322	0.0001762241115612	5.87413766476065e-05	0.0087321659326618	0.0214679250787825	0.0009015295353131	0.0020738534087322	148.7876407545116	2.550645270077342	4.213914971536733	8.303043557971495	1.6632697014593905	5.752398287894152	1.6632697014593905	1.6632697014593905
38	38.0	3.957319	0.682405543702576	0.0524484823655926	1200.00012516975	-1.00280999791818e-07	0.798633113702576	91.0000013560051	-2.46558679873774e-08	-7.56251318044406e-08	-0.0001057258123502	0.0006957319	0.0001775222495091	0.0008167514234879	0.0001762242411827	5.87414198548057e-05	0.0087909073525166	0.0206210490672354	0.0008732541495091	0.0015124833234879	152.12059308620493	2.6077815957635133	4.282240139100009	8.210059009049608	1.6744585433364951	5.602277413286095	1.6744585433364951	1.6744585433364951
39	39.0	3.9715838	0.699903464631368	0.0524482486554946	1200.00012516975	-1.0395966573078e-07	0.816131034631368	93.3333347241077	-2.12714488251752e-08	-8.26882169056048e-08	-9.45943652204083e-05	0.00069715838	0.0001531544315412	0.0008930327425805	0.0001762241243277	5.87413809031186e-05	0.0088496487334198	0.0198288075521309	0.0008503128115412	0.0015901911225805	155.45353040597485	2.664917664102426	4.350565041896673	8.127480766112082	1.6856473777942476	5.462563102009657	1.6856473777942476	1.6856473777942476
40	40.0	3.985652	0.717401384788315	0.0524481562760631	1200.00012516975	-8.95929501825541e-08	0.833628954788315	95.6666680922104	-2.12833858149679e-08	-6.83095643675862e-08	-9.71344096463864e-05	0.0006985652	0.0001532403778677	0.0007377432951699	0.000176224078138	5.87413655065451e-05	0.0089083900989263	0.0202925253279736	0.0008518055778677	0.0014363084951699	158.78646757872664	2.7220537299210283	4.418889939240323	8.284132858854342	1.696836209319295	5.562079128933314	1.696836209319295	1.696836209319295
